T,genP,demP,H,B
0,0,0.347,94,534
0.5,0,0.153,94,534
1,0,0.09,94,534
1.5,0.006,0.173,94,534
2,0,0.1,94,534
2.5,0,0.141,94,534
3,0,0.129,94,534
3.5,0,0.109,94,534
4,0,0.156,94,534
4.5,0,0.084,94,534
5,0,0.167,94,534
5.5,0,0.157,94,534
6,0.006,0.278,94,534
6.5,0.019,0.193,94,534
7,0.063,0.215,94,534
7.5,0.094,0.211,94,534
8,0.119,0.543,94,534
8.5,0.206,1.354,94,534
9,0.294,0.281,94,534
9.5,0.313,0.279,94,534
10,0.375,0.194,94,534
10.5,0.319,0.995,94,534
11,0.294,0.479,94,534
11.5,0.238,0.448,94,534
12,0.344,0.922,94,534
12.5,0.256,0.654,94,534
13,0.419,0.453,94,534
13.5,0.213,0.606,94,534
14,0.275,1.154,94,534
14.5,0.306,1.004,94,534
15,0.244,1.1,94,534
15.5,0.213,1.032,94,534
16,0.15,0.475,94,534
16.5,0.094,0.528,94,534
17,0.038,0.446,94,534
17.5,0.013,0.328,94,534
18,0.006,0.341,94,534
18.5,0.006,0.789,94,534
19,0,0.404,94,534
19.5,0,0.282,94,534
20,0,0.33,94,534
20.5,0,0.334,94,534
21,0,0.279,94,534
21.5,0,0.333,94,534
22,0,0.361,94,534
22.5,0,0.443,94,534
23,0.006,0.35,94,534
23.5,0,0.267,94,534
