T,genP,demP,H,B
0,0,0.075,64,429
0.5,0,0.076,64,429
1,0,0.079,64,429
1.5,0,0.073,64,429
2,0,0.066,64,429
2.5,0,0.067,64,429
3,0,0.062,64,429
3.5,0,0.063,64,429
4,0,0.103,64,429
4.5,0,0.109,64,429
5,0,0.059,64,429
5.5,0,0.057,64,429
6,0.019,0.082,64,429
6.5,0.163,0.071,64,429
7,0.269,0.288,64,429
7.5,0.369,0.192,64,429
8,0.419,0.157,64,429
8.5,0.531,0.486,64,429
9,0.569,0.152,64,429
9.5,0.506,0.129,64,429
10,0.306,0.103,64,429
10.5,0.55,0.259,64,429
11,0.263,0.075,64,429
11.5,0.363,0.061,64,429
12,0.394,0.066,64,429
12.5,0.431,0.067,64,429
13,0.456,0.066,64,429
13.5,0.444,0.067,64,429
14,0.263,0.067,64,429
14.5,0.25,0.066,64,429
15,0.194,0.105,64,429
15.5,0.163,0.185,64,429
16,0.088,0.115,64,429
16.5,0.056,0.135,64,429
17,0.05,0.185,64,429
17.5,0.038,0.109,64,429
18,0.019,0.113,64,429
18.5,0.006,0.584,64,429
19,0,0.197,64,429
19.5,0,0.385,64,429
20,0,0.194,64,429
20.5,0,0.17,64,429
21,0,0.198,64,429
21.5,0,0.14,64,429
22,0,0.096,64,429
22.5,0,0.075,64,429
23,0,0.066,64,429
23.5,0,0.065,64,429
