T,genP,demP,H,B
0,0,0.099,88,518
0.5,0,0.131,88,518
1,0,0.059,88,518
1.5,0,0.057,88,518
2,0,0.145,88,518
2.5,0,0.102,88,518
3,0,0.104,88,518
3.5,0,0.154,88,518
4,0,0.1,88,518
4.5,0,0.109,88,518
5,0,0.142,88,518
5.5,0,0.057,88,518
6,0.006,0.074,88,518
6.5,0.025,0.098,88,518
7,0.094,0.206,88,518
7.5,0.188,0.17,88,518
8,0.338,0.122,88,518
8.5,0.425,0.114,88,518
9,0.531,0.17,88,518
9.5,0.606,0.111,88,518
10,0.694,0.116,88,518
10.5,0.769,0.116,88,518
11,0.813,0.07,88,518
11.5,0.775,0.12,88,518
12,0.819,0.15,88,518
12.5,0.85,0.116,88,518
13,0.825,0.154,88,518
13.5,0.838,0.135,88,518
14,0.775,0.116,88,518
14.5,0.744,0.169,88,518
15,0.681,0.125,88,518
15.5,0.6,0.117,88,518
16,0.481,0.178,88,518
16.5,0.356,0.113,88,518
17,0.263,0.084,88,518
17.5,0.156,0.114,88,518
18,0.069,0.061,88,518
18.5,0.031,0.138,88,518
19,0,0.138,88,518
19.5,0,0.102,88,518
20,0,0.146,88,518
20.5,0,0.123,88,518
21,0,0.103,88,518
21.5,0,0.156,88,518
22,0,0.109,88,518
22.5,0,0.105,88,518
23,0,0.161,88,518
23.5,0,0.1,88,518
