T,genP,demP,H,B
0,0,0.164,19,15
0.5,0,0.144,19,15
1,0,0.18,19,15
1.5,0,0.157,19,15
2,0,0.177,19,15
2.5,0,0.164,19,15
3,0,0.123,19,15
3.5,0,0.164,19,15
4,0,0.138,19,15
4.5,0,0.14,19,15
5,0,0.132,19,15
5.5,0,0.142,19,15
6,0,0.129,19,15
6.5,0,0.147,19,15
7,0.013,0.136,19,15
7.5,0.056,0.125,19,15
8,0.125,0.145,19,15
8.5,0.181,0.865,19,15
9,0.219,0.401,19,15
9.5,0.25,0.157,19,15
10,0.238,0.186,19,15
10.5,0.263,0.155,19,15
11,0.25,0.2,19,15
11.5,0.225,0.155,19,15
12,0.313,0.188,19,15
12.5,0.313,0.166,19,15
13,0.456,0.186,19,15
13.5,0.406,0.174,19,15
14,0.406,0.17,19,15
14.5,0.406,0.186,19,15
15,0.381,0.17,19,15
15.5,0.356,1.226,19,15
16,0.319,0.409,19,15
16.5,0.269,0.204,19,15
17,0.231,0.248,19,15
17.5,0.163,0.279,19,15
18,0.1,0.237,19,15
18.5,0.038,0.246,19,15
19,0.006,0.245,19,15
19.5,0,0.241,19,15
20,0,0.245,19,15
20.5,0,0.218,19,15
21,0,0.216,19,15
21.5,0,0.234,19,15
22,0,0.694,19,15
22.5,0,0.706,19,15
23,0,0.6,19,15
23.5,0,0.261,19,15
